Specimen No.,Sex,Age,Age Notes,vault_score,orbit_score,Description,Indications,Photos,Notes
266316,M,Older,"extensive antemortem tooth loss, condylar changes, suture closure",0,3,(level 2-3 porosity on superior orbits.) ,scan 2x,yes,circular section through right parietal. Small button osteomas on frontal
266926,M,Older,"dentin exposed in all present molars, full pulp chamber exposure in LM1",0,0,NA,scan 2x,yes,robust older male
267097,M,Middle-Older,degenerative changes to the basilar condyles; extensive antemortem tooth loss and exposed pulp chamber on only observable tooth (P3),0,0,NA,scan 2x,yes,
267182,F,Older,completely edentulous; bilateral glenoid arthritis; suture closure,0,0,"skull is quite heavy, so not actually sure if this should be a control….",scan 2x,yes,"sex is my own estimation, based on small mastoid processes, slope of frontal bone, small nuchal line"
267197,F,Older,completely edentulous; degenerative changes to basilar condyles,0,0,NA,scan 2x,yes,
267186,M,Young-Middle,Loss of roughly half maxillary dentition antemortem; all sutures open,1,1,"All porosity looks well healed. Frontal: slight level 1 porosity over calotte portion, as defined in 267208 description. (slight level 1 porosity in superior orbits) Parietal: slight level 1 porosity over entire parietal bones superior to temporal line, with denser porosity closer to sagittal suture, though avoiding the suture itself. Occipital: Not observable due to weathering ",Scan 2x,yes,
267208,F,Young ,"M3s erupted but not present; wear on present teeth (other Ms, LP3) very slight",1,0,"Frontal: level 1 porosity starting roughly in coronal line with pterion and continuing back to cross over coronal suture (calotte portion of frontal?). Parietal: Bilateral porosity, level 1, most pronouned at bregma, and visible along either side of the sagittal suture, following the same pattern as 264543. Porosity avoids parietal eminences, except for a line of vascular/trabecular reaction following the superior border of the temporal line. Occipital: slight level 1 porosity on squama, avoiding midline.",Scan 2x,yes,"Quite weathered, so there's some taphonomic degradation, but the calvarium does not appear to have been the exposed portion."
266399,M,Older,extensive wear on all teeth present (including M2/3),2,1,"Frontal: (level 1 porosity in superior orbits) level 2 porosity anterior to L temporal line (R unobservable due to taphonomy). Level 1 porosity beginning 2 inches above glabella grading to level 2 closer to bregma. Parietal: bilateral level 2 porosity near bregma and on posterior, especially near occipital suture. circular sample taken from R eminence shows almost no diploe. Occipital: level 2 porosity across squama. ",scan 1x,yes,possible cranial reshaping (cradle boarding?) and weathering on right side. Not ideal.   Notes from Hrdlicka label: 'abnormal bulging of forehead w/premature occlusion of left temporo-parietal suture. Fusion of atlas.'  Possible HFI?
266487,M,Middle,"dentin exposure in observable M2, although M3s are not in functional occlusion (possible impacted). Slight degenerative changes to basilar condyles",2,0,"Zygomatic: bilateral level 1 porosity on anterior, lateral to eye orbits. Frontal: level 1 porosity superior to temporal lines. Level 2 porosity extending laterally and anteriorly from bregma roughly 2 inches (forming a triangel down the frontal midline). Parietal: level 2 porosity from bregma along sagittal suture to occipital. circular sample from right parietal eminence shows cross section without expanded diploe. Occipital: level 2 porosity across squama.",scan 2x,yes,
266741,M,Older,extensive antemortem tooth loss ,2,0,"Frontal: (very slight vascular tracks in superior orbits) level 2 porosity reaching from bregma 1.5 inches anterior/laterally. Parietal: level 2 porosity near bregma, following the sagittal suture back and joining with the temporal line posteriorly. Some larger vascular tracks. Occipital: level 2 porosity across squama, but some weathering interferes with observation.",scan 1x,yes,possible cranial reshaping (cradle boarding?). Not ideal. 
266748,M,Middle,dentin exposure in M1 but not M2,2,3,"Frontal: (level 3 trabeculated porosity in superior orbits) Level 1 porosity on/above superciliary ridge, level 1 porosity near glabella.       Zygomatic: level 1 porosity bilaterally on anterior lateral to eye orbits. Sphenoid: Level 2 porosity bilaterally on lateral portion of greater wing. Parietal: Level 2 porosity from vertex along either side of sagittal suture to occipital, with underlying bone almost pillowy. Occipital: level 1 porosity across squama",scan 1x,yes,head modification (cradle boarding?). I suspect this is possibly something different from the other crania (with the extreme cribra and the sphenoid involvement)
