nmnh_id,modality,orbit_2d_porosity_eh,orbital_roof_thickness_eh,true_porosity_2d_eh,ecto_pitting_2d_eh,hair_on_end_eh,notes
264543,scan_2d,1,5.602,1,1,1,
266027,scan_2d,1,2.865,1,1,1,
266487,scan_2d,0,1.436,1,1,0,
266562,scan_2d,1,2.795,0,0,0,
267097,scan_2d,0,0.852,0,0,0,
266148,scan_2d,1,2.339,0,0,0,
266316,scan_2d,1,3.995,0,0,0,
266399,scan_2d,1,2.418,0,1,1,
266741,scan_2d,1,1.798,0,0,1,
266748,scan_2d,1,1.206,0,1,1,
266926,scan_2d,0,1.33,0,0,0,
267071,scan_2d,0,1.593,0,1,0,
267107,scan_2d,1,3.032,0,0,0,
267150,scan_2d,1,1.192,0,1,0,
267171,scan_2d,1,2.221,0,0,0,
267182,scan_2d,1,3.81,0,0,0,
267186,scan_2d,1,1.485,0,0,0,
267197,scan_2d,1,2.17,0,0,0,
267200,scan_2d,1,2.737,0,0,0,
267208,scan_2d,0,1.208,0,0,0,
267641,scan_2d,1,6.014,0,1,0,
268028,scan_2d,0,1.337,0,0,1,
